cmip6-id, cmip6-label, cmip6-type
cmip6.ocean.grid::discretisation::discretisation:vertical::coordinates, Ocean > Grid::discretisation::discretisation:vertical::coordinates, detail
cmip6.ocean.grid::discretisation::discretisation:vertical::partial_steps, Ocean > Grid::discretisation::discretisation:vertical::partial Steps, detail
cmip6.ocean.grid::discretisation::discretisation:horizontal::type, Ocean > Grid::discretisation::discretisation:horizontal::type, detail
cmip6.ocean.grid::discretisation::discretisation:horizontal::scheme, Ocean > Grid::discretisation::discretisation:horizontal::scheme, detail
, , 
cmip6.ocean.key_properties::toplevel::model_family, Ocean > Key Properties::toplevel::model Family, detail
cmip6.ocean.key_properties::toplevel::basic_approximations, Ocean > Key Properties::toplevel::basic Approximations, detail
cmip6.ocean.key_properties::toplevel::prognostic_variables, Ocean > Key Properties::toplevel::prognostic Variables, detail
cmip6.ocean.key_properties::seawater_properties::eos_type, Ocean > Key Properties::seawater Properties::eos Type, detail
cmip6.ocean.key_properties::seawater_properties::eos_functional_temp, Ocean > Key Properties::seawater Properties::eos Functional Temp, detail
cmip6.ocean.key_properties::seawater_properties::eos_functional_salt, Ocean > Key Properties::seawater Properties::eos Functional Salt, detail
cmip6.ocean.key_properties::seawater_properties::eos_functional_depth, Ocean > Key Properties::seawater Properties::eos Functional Depth, detail
cmip6.ocean.key_properties::seawater_properties::ocean_freezing_point, Ocean > Key Properties::seawater Properties::ocean Freezing Point, detail
cmip6.ocean.key_properties::seawater_properties::ocean_specific_heat, Ocean > Key Properties::seawater Properties::ocean Specific Heat, detail
cmip6.ocean.key_properties::seawater_properties::ocean_reference_density, Ocean > Key Properties::seawater Properties::ocean Reference Density, detail
cmip6.ocean.key_properties::bathymetry::reference_dates, Ocean > Key Properties::bathymetry::reference Dates, detail
cmip6.ocean.key_properties::bathymetry::type, Ocean > Key Properties::bathymetry::type, detail
cmip6.ocean.key_properties::bathymetry::ocean_smoothing, Ocean > Key Properties::bathymetry::ocean Smoothing, detail
cmip6.ocean.key_properties::bathymetry::source, Ocean > Key Properties::bathymetry::source, detail
cmip6.ocean.key_properties::nonoceanic_waters::isolated_seas, Ocean > Key Properties::nonoceanic Waters::isolated Seas, detail
cmip6.ocean.key_properties::nonoceanic_waters::river_mouth, Ocean > Key Properties::nonoceanic Waters::river Mouth, detail
cmip6.ocean.key_properties::resolution::name, Ocean > Key Properties::resolution::name, detail
cmip6.ocean.key_properties::resolution::canonical_horizontal_resolution, Ocean > Key Properties::resolution::canonical Horizontal Resolution, detail
cmip6.ocean.key_properties::resolution::number_of_horizontal_gridpoints, Ocean > Key Properties::resolution::number Of Horizontal Gridpoints, detail
cmip6.ocean.key_properties::resolution::number_of_vertical_levels, Ocean > Key Properties::resolution::number Of Vertical Levels, detail
cmip6.ocean.key_properties::resolution::is_adaptive_grid, Ocean > Key Properties::resolution::is Adaptive Grid, detail
cmip6.ocean.key_properties::resolution::thickness_level_1, Ocean > Key Properties::resolution::thickness Level 1, detail
cmip6.ocean.key_properties::tuning_applied::description, Ocean > Key Properties::tuning Applied::description, detail
cmip6.ocean.key_properties::tuning_applied::global_mean_metrics_used, Ocean > Key Properties::tuning Applied::global Mean Metrics Used, detail
cmip6.ocean.key_properties::tuning_applied::regional_metrics_used, Ocean > Key Properties::tuning Applied::regional Metrics Used, detail
cmip6.ocean.key_properties::tuning_applied::trend_metrics_used, Ocean > Key Properties::tuning Applied::trend Metrics Used, detail
cmip6.ocean.key_properties::conservation::description, Ocean > Key Properties::conservation::description, detail
cmip6.ocean.key_properties::conservation::scheme, Ocean > Key Properties::conservation::scheme, detail
cmip6.ocean.key_properties::conservation::consistency_properties, Ocean > Key Properties::conservation::consistency Properties, detail
cmip6.ocean.key_properties::conservation::corrected_conserved_prognostic_variables, Ocean > Key Properties::conservation::corrected Conserved Prognostic Variables, detail
cmip6.ocean.key_properties::conservation::was_flux_correction_used, Ocean > Key Properties::conservation::was Flux Correction Used, detail
, , 
cmip6.ocean.timestepping_framework::toplevel:timestepping_attributes::time_step, Ocean > Timestepping Framework::toplevel:timestepping Attributes::time Step, detail
cmip6.ocean.timestepping_framework::toplevel:timestepping_attributes::diurnal_cycle, Ocean > Timestepping Framework::toplevel:timestepping Attributes::diurnal Cycle, detail
cmip6.ocean.timestepping_framework::toplevel:timestepping_tracers_scheme::tracers, Ocean > Timestepping Framework::toplevel:timestepping Tracers Scheme::tracers, detail
cmip6.ocean.timestepping_framework::toplevel:barotropic_solver_scheme::barotropic_solver, Ocean > Timestepping Framework::toplevel:barotropic Solver Scheme::barotropic Solver, detail
cmip6.ocean.timestepping_framework::toplevel:barotropic_solver_scheme::type, Ocean > Timestepping Framework::toplevel:barotropic Solver Scheme::type, detail
cmip6.ocean.timestepping_framework::toplevel:barotropic_momentum_scheme::barotropic_momentum, Ocean > Timestepping Framework::toplevel:barotropic Momentum Scheme::barotropic Momentum, detail
, , 
cmip6.ocean.advection.momentum::momentum::type, Ocean > Advection > Momentum::momentum::type, detail
cmip6.ocean.advection.momentum::momentum::scheme_name, Ocean > Advection > Momentum::momentum::scheme Name, detail
cmip6.ocean.advection.momentum::momentum::ALE, Ocean > Advection > Momentum::momentum::ALE, detail
cmip6.ocean.advection.lateral_tracers::lateral_tracers::type, Ocean > Advection > Lateral Tracers::lateral Tracers::type, detail
cmip6.ocean.advection.lateral_tracers::lateral_tracers::flux_limiter, Ocean > Advection > Lateral Tracers::lateral Tracers::flux Limiter, detail
cmip6.ocean.advection.lateral_tracers::lateral_tracers::passive_tracers, Ocean > Advection > Lateral Tracers::lateral Tracers::passive Tracers, detail
cmip6.ocean.advection.lateral_tracers::lateral_tracers::passive_tracers_advection, Ocean > Advection > Lateral Tracers::lateral Tracers::passive Tracers Advection, detail
cmip6.ocean.advection.vertical_tracers::vertical_tracers::type, Ocean > Advection > Vertical Tracers::vertical Tracers::type, detail
cmip6.ocean.advection.vertical_tracers::vertical_tracers::flux_limiter, Ocean > Advection > Vertical Tracers::vertical Tracers::flux Limiter, detail
, , 
cmip6.ocean.lateral_physics::toplevel::scheme, Ocean > Lateral Physics::toplevel::scheme, detail
cmip6.ocean.lateral_physics.momentum::momentum:operator::direction, Ocean > Lateral Physics > Momentum::momentum:operator::direction, detail
cmip6.ocean.lateral_physics.momentum::momentum:operator::order, Ocean > Lateral Physics > Momentum::momentum:operator::order, detail
cmip6.ocean.lateral_physics.momentum::momentum:operator::discretisation, Ocean > Lateral Physics > Momentum::momentum:operator::discretisation, detail
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff::type, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff::type, detail
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff::constant_coefficient, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff::constant Coefficient, detail
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff::variable_coefficient, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff::variable Coefficient, detail
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff::coeff_background, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff::coeff Background, detail
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff::coeff_backscatter, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff::coeff Backscatter, detail
cmip6.ocean.lateral_physics.momentum::momentum:operator::direction, Ocean > Lateral Physics > Momentum::momentum:operator::direction, detail
cmip6.ocean.lateral_physics.momentum::momentum:operator::order, Ocean > Lateral Physics > Momentum::momentum:operator::order, detail
cmip6.ocean.lateral_physics.momentum::momentum:operator::discretisation, Ocean > Lateral Physics > Momentum::momentum:operator::discretisation, detail
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff::type, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff::type, detail
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff::constant_coefficient, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff::constant Coefficient, detail
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff::variable_coefficient, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff::variable Coefficient, detail
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff::coeff_background, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff::coeff Background, detail
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff::coeff_backscatter, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff::coeff Backscatter, detail
cmip6.ocean.lateral_physics.tracers::tracers::mesoscale_closure, Ocean > Lateral Physics > Tracers::tracers::mesoscale Closure, detail
cmip6.ocean.lateral_physics.tracers::tracers::submesoscale_mixing, Ocean > Lateral Physics > Tracers::tracers::submesoscale Mixing, detail
cmip6.ocean.lateral_physics.tracers::tracers:operator::direction, Ocean > Lateral Physics > Tracers::tracers:operator::direction, detail
cmip6.ocean.lateral_physics.tracers::tracers:operator::order, Ocean > Lateral Physics > Tracers::tracers:operator::order, detail
cmip6.ocean.lateral_physics.tracers::tracers:operator::discretisation, Ocean > Lateral Physics > Tracers::tracers:operator::discretisation, detail
cmip6.ocean.lateral_physics.tracers::tracers:eddy_viscosity_coeff::type, Ocean > Lateral Physics > Tracers::tracers:eddy Viscosity Coeff::type, detail
cmip6.ocean.lateral_physics.tracers::tracers:eddy_viscosity_coeff::constant_coefficient, Ocean > Lateral Physics > Tracers::tracers:eddy Viscosity Coeff::constant Coefficient, detail
