cmip6-id, cmip6-label, cmip6-type
cmip6.ocean, Ocean, realm
, , 
cmip6.ocean.grid, Ocean > Grid, topic
, , 
cmip6.ocean.key_properties, Ocean > Key Properties, topic
, , 
cmip6.ocean.timestepping_framework, Ocean > Timestepping Framework, process
, , 
cmip6.ocean.advection, Ocean > Advection, process
, , 
cmip6.ocean.lateral_physics, Ocean > Lateral Physics, process
, , 
cmip6.ocean.vertical_physics, Ocean > Vertical Physics, process
, , 
cmip6.ocean.uplow_boundaries, Ocean > Uplow Boundaries, process
, , 
cmip6.ocean.boundary_forcing, Ocean > Boundary Forcing, process
